Date,Time,Lat,Lon,Depth,Mag,Mt,Nst,Gap,Clo,RMS,Auth,Subsrc,DbId,JtId,Typ,Time UTC,Cluster,dt,Amplitude,FI
2009/01/28,00:59:22.9200,60.49,-152.773,0.72,0.8,l,0,151.0,3.0,0.12,AV,hypomag,60324283,,lp,2009/01/28 00:59:22.9200,181,1.02000050247,2746.51567202,-0.528535872698
2009/01/28,01:00:25.6500,60.4795,-152.7172,0.76,0.3,l,0,177.0,2.0,0.16,AV,hypomag,60324288,,lp,2009/01/28 01:00:25.6500,181,1.07001028955,10296.5565736,-0.302342658242
2009/01/28,01:21:14.1200,60.486,-152.7137,0.59,0.5,l,0,147.0,1.0,0.22,AV,hypomag,60324303,,le,2009/01/28 01:21:14.1200,181,0.939996913075,10221.4121309,-0.413576976707
2009/01/28,01:31:57.8500,60.4718,-152.7367,2.66,0.5,l,0,173.0,2.0,0.13,AV,hypomag,60324328,,lp,2009/01/28 01:31:57.8500,181,1.10999196768,10509.5294512,-0.639632115761
2009/01/28,01:57:39.4600,60.494,-152.7357,1.85,1.1,l,0,108.0,2.0,0.17,AV,hypomag,60324343,,lp,2009/01/28 01:57:39.4600,,,,
2009/01/28,01:58:39.1500,60.5113,-152.745,4.38,1.0,l,0,119.0,1.0,0.16,AV,hypomag,60324348,,lp,2009/01/28 01:58:39.1500,,,,
2009/01/28,02:29:00.8900,60.4493,-152.7442,1.81,0.6,l,0,269.0,2.0,0.15,AV,hypomag,60324388,,lp,2009/01/28 02:29:00.8900,181,1.06000229716,3226.11295668,-0.583281934261
2009/01/28,02:44:36.9800,60.5065,-152.7513,1.73,0.1,l,0,120.0,2.0,0.08,AV,hypomag,60324403,,le,2009/01/28 02:44:36.9800,,,,
2009/01/28,03:00:00.8200,60.473,-152.7437,3.95,0.6,l,0,152.0,1.0,0.11,AV,hypomag,60324418,,lp,2009/01/28 03:00:00.8200,,,,
2009/01/28,05:54:46.1900,60.4848,-152.7442,1.93,0.5,l,0,116.0,3.0,0.08,AV,hypomag,60324558,,lp,2009/01/28 05:54:46.1900,181,0.809993594885,4878.41513654,-0.426569504042
2009/01/28,06:23:04.6000,60.4945,-152.756,2.17,0.5,l,0,130.0,3.0,0.2,AV,hypomag,60324588,,le,2009/01/28 06:23:04.6000,181,0.89999511838,1500.62286268,-0.439550939326
2009/01/28,06:23:23.3900,60.483,-152.7325,-2.78,0.7,l,0,130.0,2.0,0.3,AV,hypomag,60324593,,le,2009/01/28 06:23:23.3900,,,,
2009/01/28,07:29:33.0200,60.502,-152.7437,0.88,0.2,l,0,115.0,2.0,0.17,AV,hypomag,60324658,,le,2009/01/28 07:29:33.0200,154,1.80000029504,3810.8860964,0.0194366971652
2009/01/28,08:05:42.5700,60.546,-152.787,6.08,0.5,l,0,122.0,4.0,0.07,AV,hypomag,60324713,,le,2009/01/28 08:05:42.5700,207,1.59999132156,2262.23713331,0.185661468958
2009/01/28,09:56:55.3200,60.4978,-152.7613,0.58,0.8,l,0,133.0,3.0,0.12,AV,hypomag,60324783,,lp,2009/01/28 09:56:55.3200,,,,
2009/01/28,10:05:43.9100,60.4785,-152.7015,4.49,0.7,l,0,219.0,1.0,0.03,AV,hypomag,60324793,,lp,2009/01/28 10:05:43.9100,194,1.74000263214,1908.0274941,-0.764824346739
2009/01/28,10:47:55.5400,60.5028,-152.7605,0.18,0.5,l,0,130.0,2.0,0.36,AV,hypomag,60324818,,le,2009/01/28 10:47:55.5400,,,,
2009/01/28,14:15:12.7900,60.5018,-152.7133,3.98,0.8,l,0,175.0,2.0,0.22,AV,hypomag,60324958,,le,2009/01/28 14:15:12.7900,,,,
2009/01/28,14:47:29.3100,60.4845,-152.7823,0.92,1.1,l,0,168.0,3.0,0.08,AV,hypomag,60324993,,lp,2009/01/28 14:47:29.3100,181,0.939996913075,1651.24340656,-0.330872471134
2009/01/28,14:57:44.3800,60.4953,-152.7577,1.4,0.6,l,0,131.0,3.0,0.06,AV,hypomag,60325003,,lp,2009/01/28 14:57:44.3800,,,,
2009/01/28,15:06:15.1600,60.4803,-152.7588,2.49,1.1,l,0,140.0,2.0,0.05,AV,hypomag,60325013,,lp,2009/01/28 15:06:15.1600,181,1.13999582827,7269.61572826,0.14139657778
2009/01/28,15:21:05.0600,60.4712,-152.7495,3.31,0.2,l,0,142.0,1.0,0.15,AV,hypomag,60325038,,lp,2009/01/28 15:21:05.0600,181,1.31000094116,5231.88988179,-0.0620156285389
2009/01/28,15:22:50.0200,60.4793,-152.756,1.87,0.3,l,0,134.0,2.0,0.11,AV,hypomag,60325043,,lp,2009/01/28 15:22:50.0200,,,,
2009/01/28,16:47:22.3900,60.501,-152.7773,5.09,0.0,l,0,235.0,3.0,0.03,AV,hypomag,60325083,,lp,2009/01/28 16:47:22.3900,,,,
2009/01/28,16:49:11.0200,60.4908,-152.7725,0.93,1.0,l,0,149.0,3.0,0.15,AV,hypomag,60325088,,lp,2009/01/28 16:49:11.0200,181,1.02000050247,8723.79451016,-0.499903998648
2009/01/28,16:57:36.7300,60.4925,-152.7442,0.87,0.5,l,0,117.0,3.0,0.09,AV,hypomag,60325103,,lp,2009/01/28 16:57:36.7300,,,,
2009/01/28,17:34:16.4600,60.4848,-152.7505,3.06,0.1,l,0,125.0,3.0,0.08,AV,hypomag,60325118,,lp,2009/01/28 17:34:16.4600,181,4.30999472737,6136.58597744,-0.26961835647
2009/01/28,23:24:58.3300,60.4918,-152.792,0.11,-0.1,l,0,168.0,4.0,0.08,AV,hypomag,60325353,,le,2009/01/28 23:24:58.3300,154,1.29000507295,2805.45647014,0.0212482263645
2009/01/29,00:45:13.4000,60.4915,-152.7765,0.23,0.1,l,0,153.0,4.0,0.07,AV,hypomag,60325413,,le,2009/01/29 00:45:13.4000,154,1.20000354946,3405.6665833,0.297877136423
2009/01/29,04:31:31.3600,60.5057,-152.7405,5.04,0.6,l,0,126.0,2.0,0.09,AV,hypomag,60325548,,le,2009/01/29 04:31:31.3600,154,2.07000486553,2121.78763614,-0.440237174431
2009/01/29,08:23:23.1700,60.497,-152.769,-0.08,0.4,l,0,141.0,3.0,0.09,AV,hypomag,60325658,,lp,2009/01/29 08:23:23.1700,154,1.15000382066,3848.52833786,-0.246484741297
2009/01/29,09:06:27.1900,60.5047,-152.7642,-1.74,-0.3,l,0,132.0,2.0,0.13,AV,hypomag,60325688,,le,2009/01/29 09:06:27.1900,154,1.60998925567,2730.46206059,-0.201371749242
