2012-09-17 06:05:26.710000, ST02 HHZ JP , trigger
2012-09-17 06:34:19.090000, ST02 HHZ JP , trigger
2012-09-17 06:35:46.150000, ST02 HHZ JP , trigger
2012-09-17 06:59:19.530000, ST02 HHZ JP , trigger
2012-09-17 07:53:20.900000, ST02 HHZ JP , trigger
2012-09-17 08:06:15.440000, ST02 HHZ JP , trigger
2012-09-17 09:15:49.690000, ST02 HHZ JP , trigger
2012-09-17 10:27:20.300000, ST02 HHZ JP , trigger
2012-09-17 11:17:13.590000, ST02 HHZ JP , trigger
2012-09-17 11:41:34.290000, ST02 HHZ JP , trigger
2012-09-17 11:51:40.650000, ST02 HHZ JP , trigger
2012-09-17 11:53:15.150000, ST02 HHZ JP , trigger
2012-09-17 12:02:17.550000, ST02 HHZ JP , trigger
2012-09-17 12:03:12.800000, ST02 HHZ JP , trigger
2012-09-17 12:05:17.350000, ST02 HHZ JP , trigger
2012-09-17 12:09:50.520000, ST02 HHZ JP , trigger
2012-09-17 13:25:37.190000, ST02 HHZ JP , trigger
2012-09-17 13:34:37.130000, ST02 HHZ JP , trigger
2012-09-17 13:37:06.130000, ST02 HHZ JP , trigger
2012-09-17 13:40:56.160000, ST02 HHZ JP , trigger
2012-09-17 13:52:50.100000, ST02 HHZ JP , trigger
2012-09-17 14:00:13.040000, ST02 HHZ JP , trigger
2012-09-17 14:26:17.870000, ST02 HHZ JP , trigger
2012-09-17 14:39:15.280000, ST02 HHZ JP , trigger
2012-09-17 14:46:22.910000, ST02 HHZ JP , trigger
2012-09-17 14:46:50.340000, ST02 HHZ JP , trigger
2012-09-17 14:48:26.750000, ST02 HHZ JP , trigger
2012-09-17 14:54:45.920000, ST02 HHZ JP , trigger
2012-09-17 15:02:21.770000, ST02 HHZ JP , trigger
2012-09-17 15:10:21.760000, ST02 HHZ JP , trigger
2012-09-17 15:11:08.670000, ST02 HHZ JP , trigger
2012-09-17 15:13:41.410000, ST02 HHZ JP , trigger
2012-09-17 15:18:03.440000, ST02 HHZ JP , trigger
2012-09-17 15:34:41.080000, ST02 HHZ JP , trigger
2012-09-17 15:51:18.800000, ST02 HHZ JP , trigger
2012-09-17 16:07:06.400000, ST02 HHZ JP , trigger
2012-09-17 16:15:31.820000, ST02 HHZ JP , trigger
2012-09-17 16:25:23.750000, ST02 HHZ JP , trigger
2012-09-17 16:28:00.240000, ST02 HHZ JP , trigger
2012-09-17 16:39:10.190000, ST02 HHZ JP , trigger
2012-09-17 16:40:40.900000, ST02 HHZ JP , trigger
2012-09-17 16:40:51.530000, ST02 HHZ JP , trigger
2012-09-17 16:45:02.620000, ST02 HHZ JP , trigger
2012-09-17 16:45:11.340000, ST02 HHZ JP , trigger
2012-09-17 16:49:34.770000, ST02 HHZ JP , trigger
2012-09-17 16:50:59.690000, ST02 HHZ JP , trigger
2012-09-17 16:51:41.750000, ST02 HHZ JP , trigger
2012-09-17 16:52:50.500000, ST02 HHZ JP , trigger
2012-09-17 16:57:02.180000, ST02 HHZ JP , trigger
2012-09-17 16:57:15.130000, ST02 HHZ JP , trigger
2012-09-17 17:00:34.170000, ST02 HHZ JP , trigger
2012-09-17 17:09:38.700000, ST02 HHZ JP , trigger
2012-09-17 17:11:25.770000, ST02 HHZ JP , trigger
2012-09-17 17:12:19.190000, ST02 HHZ JP , trigger
2012-09-17 17:39:53.790000, ST02 HHZ JP , trigger
2012-09-17 17:40:03.360000, ST02 HHZ JP , trigger
2012-09-17 17:42:12.690000, ST02 HHZ JP , trigger
2012-09-17 17:43:55.330000, ST02 HHZ JP , trigger
2012-09-17 18:07:12.340000, ST02 HHZ JP , trigger
2012-09-17 18:26:12.670000, ST02 HHZ JP , trigger
2012-09-17 18:31:35.270000, ST02 HHZ JP , trigger
2012-09-17 18:50:04.360000, ST02 HHZ JP , trigger
2012-09-17 18:55:23.210000, ST02 HHZ JP , trigger
2012-09-17 18:59:12.970000, ST02 HHZ JP , trigger
2012-09-17 19:15:15.410000, ST02 HHZ JP , trigger
2012-09-17 19:17:45.990000, ST02 HHZ JP , trigger
2012-09-17 19:20:20.580000, ST02 HHZ JP , trigger
2012-09-17 19:21:56.270000, ST02 HHZ JP , trigger
2012-09-17 19:46:27.500000, ST02 HHZ JP , trigger
2012-09-17 19:46:58.400000, ST02 HHZ JP , trigger
2012-09-17 19:48:02.570000, ST02 HHZ JP , trigger
2012-09-17 19:51:10.590000, ST02 HHZ JP , trigger
2012-09-17 19:53:16.110000, ST02 HHZ JP , trigger
2012-09-17 19:55:01.890000, ST02 HHZ JP , trigger
2012-09-17 19:55:25.320000, ST02 HHZ JP , trigger
2012-09-17 20:07:58.660000, ST02 HHZ JP , trigger
2012-09-17 20:12:37.170000, ST02 HHZ JP , trigger
2012-09-17 20:13:21.620000, ST02 HHZ JP , trigger
2012-09-17 20:15:47.480000, ST02 HHZ JP , trigger
2012-09-17 20:19:50.040000, ST02 HHZ JP , trigger
2012-09-17 20:23:34.800000, ST02 HHZ JP , trigger
2012-09-17 20:28:26.810000, ST02 HHZ JP , trigger
2012-09-17 20:43:12.800000, ST02 HHZ JP , trigger
2012-09-17 20:56:20.570000, ST02 HHZ JP , trigger
2012-09-17 20:58:08.220000, ST02 HHZ JP , trigger
2012-09-17 20:59:50.860000, ST02 HHZ JP , trigger
2012-09-17 21:03:06, ST02 HHZ JP , trigger
2012-09-17 21:03:14.730000, ST02 HHZ JP , trigger
2012-09-17 21:05:31.530000, ST02 HHZ JP , trigger
2012-09-17 21:07:45.700000, ST02 HHZ JP , trigger
2012-09-17 21:08:17.150000, ST02 HHZ JP , trigger
2012-09-17 21:21:20.550000, ST02 HHZ JP , trigger
2012-09-17 21:21:38.450000, ST02 HHZ JP , trigger
2012-09-17 21:22:50.190000, ST02 HHZ JP , trigger
2012-09-17 21:28:32.170000, ST02 HHZ JP , trigger
2012-09-17 21:47:39.740000, ST02 HHZ JP , trigger
2012-09-17 22:01:55.480000, ST02 HHZ JP , trigger
2012-09-17 22:10:37.810000, ST02 HHZ JP , trigger
2012-09-17 22:16:07.400000, ST02 HHZ JP , trigger
2012-09-17 22:32:22.280000, ST02 HHZ JP , trigger
2012-09-17 22:44:36.280000, ST02 HHZ JP , trigger
2012-09-17 23:09:17.080000, ST02 HHZ JP , trigger
2012-09-17 23:17:29.670000, ST02 HHZ JP , trigger
2012-09-17 23:48:33.430000, ST02 HHZ JP , trigger
2012-09-18 00:00:58.090000, ST02 HHZ JP , trigger
2012-09-18 00:05:42.810000, ST02 HHZ JP , trigger
2012-09-18 00:48:56.160000, ST02 HHZ JP , trigger
2012-09-18 00:50:54.570000, ST02 HHZ JP , trigger
2012-09-18 01:52:54.120000, ST02 HHZ JP , trigger
2012-09-18 02:19:03.590000, ST02 HHZ JP , trigger
2012-09-18 03:22:07.970000, ST02 HHZ JP , trigger
2012-09-18 03:53:59.490000, ST02 HHZ JP , trigger
2012-09-18 03:59:59.780000, ST02 HHZ JP , trigger
2012-09-18 04:25:36.520000, ST02 HHZ JP , trigger
